Date,Market_Name,Commodity,Modal_Price,Min_Price,Max_Price,Temp_Max_C,Rainfall_mm,District,Modal_Price_Rolling_7,Temp_Max_Rolling_7,Rainfall_Rolling_7,Price_Volatility_7,Rainfall_Lag_1,Temp_Lag_1,Day_Sin,Day_Cos,Month_Sin,Month_Cos
2024-01-07,Kurukshetra,Tomato,2182.004536509182,1963.804082858264,2400.2049901601004,19.76,0.0,Kurukshetra,2088.4746725544724,20.124285714285715,0.0,59.968880034249665,0.0,19.97,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2024-01-08,Kurukshetra,Tomato,2220.3762729668274,1998.3386456701448,2442.41390026351,21.53,0.0,Kurukshetra,2116.4090390282245,20.16,0.0,70.07544976742771,0.0,19.76,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-09,Kurukshetra,Tomato,2196.90255367008,1977.212298303072,2416.5928090370885,20.92,0.0,Kurukshetra,2141.9776191822357,20.17142857142857,0.0,60.09263958459429,0.0,21.53,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-10,Kurukshetra,Tomato,2224.0305558493783,2001.6275002644404,2446.4336114343164,21.39,0.0,Kurukshetra,2166.7952815182844,20.245714285714286,0.0,51.12811470806972,0.0,20.92,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-11,Kurukshetra,Tomato,2200.859671208755,1980.77370408788,2420.945638329631,19.94,0.0,Kurukshetra,2177.4240327884722,20.51571428571429,0.0,49.035755381018795,0.0,21.39,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-12,Kurukshetra,Tomato,2177.573183530242,1959.815865177218,2395.3305018832666,20.94,0.0,Kurukshetra,2186.398667066897,20.63571428571429,0.0,40.692555579607834,0.0,19.94,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-13,Kurukshetra,Tomato,2189.671297108544,1970.7041673976896,2408.638426819399,21.04,0.0,Kurukshetra,2198.77401012043,20.78857142857143,0.0,17.916253659490653,0.0,20.94,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2024-01-14,Kurukshetra,Tomato,2094.007284875654,1884.6065563880888,2303.40801336322,20.89,0.0,Kurukshetra,2186.202974172783,20.95,0.0,43.80751025962704,0.0,21.04,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2024-01-15,Kurukshetra,Tomato,2007.7613932500024,1806.985253925002,2208.537532575003,20.28,0.0,Kurukshetra,2155.8294199275224,20.771428571428572,0.0,77.16897217600841,0.0,20.89,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-16,Kurukshetra,Tomato,1979.6470167879536,1781.6823151091585,2177.611718466749,20.74,0.0,Kurukshetra,2124.792914658647,20.745714285714286,0.0,98.60754352961891,0.0,20.28,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-17,Kurukshetra,Tomato,1929.0054607712325,1736.1049146941093,2121.906006848356,20.15,0.0,Kurukshetra,2082.646472504626,20.568571428571428,0.0,111.3485858408886,0.0,20.74,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-18,Kurukshetra,Tomato,1944.717827400996,1750.2460446608966,2139.189610141096,19.4,0.0,Kurukshetra,2046.0547805320894,20.49142857142857,0.0,108.06505197870733,0.0,20.15,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-19,Kurukshetra,Tomato,1899.316623624936,1709.384961262442,2089.2482859874294,21.49,0.0,Kurukshetra,2006.3038434027596,20.57,0.0,102.66642594804169,0.0,19.4,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-20,Kurukshetra,Tomato,1828.701438558171,1645.831294702354,2011.5715824139884,19.42,0.0,Kurukshetra,1954.7367207527063,20.33857142857143,0.0,84.20924757300187,0.0,21.49,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2024-01-21,Kurukshetra,Tomato,1901.9838770042488,1711.785489303824,2092.182264704674,19.37,0.0,Kurukshetra,1927.304805342506,20.12142857142857,0.0,58.68870827195637,0.0,19.42,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2024-01-22,Kurukshetra,Tomato,1890.695061979922,1701.6255557819295,2079.7645681779145,18.73,0.0,Kurukshetra,1910.5810437324942,19.900000000000002,0.0,47.56645916753867,0.0,19.37,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-23,Kurukshetra,Tomato,1894.0714722143184,1704.6643249928863,2083.4786194357503,20.71,0.0,Kurukshetra,1898.3559659362604,19.895714285714288,0.0,36.587105775512505,0.0,18.73,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-24,Kurukshetra,Tomato,1822.8340629036452,1640.5506566132808,2005.11746919401,20.29,0.0,Kurukshetra,1883.1886233837483,19.915714285714284,0.0,43.17701201153061,0.0,20.71,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2024-01-25,Kurukshetra,Tomato,1795.6149266773862,1616.0534340096476,1975.176419345125,20.53,0.0,Kurukshetra,1861.8882089946608,20.07714285714286,0.0,44.52130956679992,0.0,20.29,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2024-01-26,Kurukshetra,Tomato,1801.1610561628795,1621.0449505465915,1981.277161779168,22.51,0.0,Kurukshetra,1847.8659850715103,20.222857142857144,0.0,46.19419796958406,0.0,20.53,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2024-01-27,Kurukshetra,Tomato,1743.6113772917645,1569.250239562588,1917.9725150209408,23.4,0.0,Kurukshetra,1835.7102620334522,20.791428571428575,0.0,60.92459237795453,0.0,22.51,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2024-01-28,Kurukshetra,Tomato,1762.396278209048,1586.1566503881431,1938.6359060299528,22.67,0.0,Kurukshetra,1815.7691764912804,21.262857142857143,0.0,58.409553546809256,0.0,23.4,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2024-01-29,Kurukshetra,Tomato,1732.3643437131077,1559.127909341797,1905.6007780844184,23.03,0.0,Kurukshetra,1793.150502453164,21.87714285714286,0.0,55.12304808490628,0.0,22.67,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-30,Kurukshetra,Tomato,1717.779656223444,1546.0016906010997,1889.5576218457884,22.21,0.0,Kurukshetra,1767.965957311611,22.091428571428573,0.0,39.342927587578934,0.0,23.03,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
